plant_name,weight_kg
Pothos,1.2
Bamboo,3.5
Philodendron,1.5
Monstera,4.0
String of pearls,0.8
ZZ Plant,2.0
Snake Plant,2.5
Orchid,0.9
Birds Nest Fern,1.3
Calathea Makoyana,1.4
Peace Lily,1.6
Bird of Paradise,5.0
Fiddle Leaf Fig,6.0
Ficus,4.5
Pilea Peperomioides,1.0
Angel Wings Begonia,1.1
Jade Plant,2.2
Arrow Head,1.2
Majesty Palm,7.0
Spider Plant,1.0
Money Tree,3.0
Cactus,1.8
Devil Ivy,1.3
Alocasia Polly,1.4
Pink Anthurium,1.5
Dragon Tree,3.8
Aloe Vera,1.5
Rubber Plant,3.6
Ponytail Palm,2.5
Boston Fern,1.3
